,word,count
1460,@folha,155
1461,condicoes,155
1462,sucesso,155
1463,tenham,155
1464,#sus,155
1465,cortar,154
1466,#instagood,154
1467,faixa,154
1468,@bolsonarosp,154
1469,encontro,154
1470,paredao,154
1471,amar,154
1472,catarina,154
1473,lider,153
1474,contrario,153
1475,fonte:,153
1476,reflexao,153
1477,quinta-feira,152
1478,acima,152
1479,atender,152
1480,esquerda,152
1481,finalmente,152
1482,#cinema,152
1483,cantar,152
1484,ganha,152
1485,imprensa,152
1486,atitudes,152
1487,salve,152
1488,assisti,151
1489,desculpa,151
1490,eh,151
1491,odio,151
1492,2,151
1493,vinho,151
1494,existem,151
1495,episodios,151
1496,vitimas,151
1497,quinta,151
1498,#noticias,151
1499,igreja,150
1500,#fiqueemcasa!!!,150
1501,vo,150
1502,#semanasanta,150
1503,acabando,150
1504,colocando,150
1505,in,150
1506,diminuir,150
1507,bem!,150
1508,#mariliamendonca,150
1509,correndo,150
1510,cloroquina,149
1511,cheia,149
1512,dr,149
1513,virar,149
1514,curitiba,149
1515,tema,149
1516,mesmo!,149
1517,conhece,149
1518,perdeu,149
1519,poucos,149
1520,prova,148
1521,#filmes,148
1522,mostrando,148
1523,descobri,148
1524,#forabolonaro,148
1525,doencas,148
1526,exercicio,148
1527,milao,147
1528,respeitar,147
1529,chorando,147
1530,doente,147
1531,sorte,147
1532,quarenta,147
1533,santos,147
1534,top,147
1535,fortaleza,147
1536,viagem,147
1537,aplicativo,147
1538,preco,146
1539,saudavel,146
1540,voces?,146
1541,#casa,146
1542,areas,146
1543,participar,146
1544,suspensas,146
1545,pequenos,146
1546,metade,146
1547,#naoeumagripezinha,145
1548,bio,145
1549,imagens,145
1550,conforto,145
1551,#oms,145
1552,prior,145
1553,abracar,145
1554,bruno,145
1555,coletiva,145
1556,3,145
1557,andar,145
1558,fizeram,145
1559,trazer,145
1560,#aracatuba,144
1561,atividade,144
1562,tia,144
1563,sobreviver,144
1564,continuam,144
1565,irao,144
1566,profissional,144
1567,surto,144
1568,feita,143
1569,tiktok,143
1570,gratuito,143
1571,venha,143
1572,@oatila,143
1573,saco,143
1574,#quintadetremurasdv,143
1575,kkkkkkkk,143
1576,beijo,143
1577,seguro,143
1578,posta,143
1579,usa,143
1580,#auxilioemergencial,143
1581,avos,142
1582,lugares,142
1583,exatamente,142
1584,m,142
1585,sigo,142
1586,#mandetta,142
1587,entendo,142
1588,#memes,142
1589,merece,142
1590,decisao,142
1591,aracatuba,142
1592,quantidade,142
1593,resolvi,141
1594,conversa,141
1595,seguem,141
1596,pr,141
1597,orgulho,141
1598,quantas,141
1599,sim!,141
1600,ordem,141
1601,parem,141
1602,educacao,141
1603,@prefeitura,141
1604,18h,141
1605,funcionamento,141
1606,#elenao,140
1607,1,140
1608,ideias,140
1609,defesa,140
1610,maratonar,140
1611,marido,140
1612,#podcast,140
1613,cuida,140
1614,praca,140
1615,pratica,140
1616,trabalhador,140
1617,acham,139
1618,versao,139
1619,azul,139
1620,disponiveis,139
1621,#globolixo,139
1622,mandando,139
