,word,count
1194,morre,11
1195,total,11
1196,chuva,11
1197,frances,11
1198,casa:,11
1199,chamar,11
1200,isolar,11
1201,possamos,11
1202,explica,11
1203,inicio,11
1204,desses,11
1205,lavei,11
1206,movimento,11
1207,virar,11
1208,alerta,11
1209,lidar,11
1210,limpar,11
1211,ana,11
1212,vim,11
1213,diferente,11
1214,gostaria,11
1215,19..,11
1216,lembra,11
1217,colocou,11
1218,=,11
1219,gratuita,11
1220,louca,11
1221,sofa,11
1222,fi..,11
1223,pedi,11
1224,pra..,11
1225,perdi,11
1226,comeca,11
1227,arroz,11
1228,imaginando,11
1229,jovens,11
1230,ficarem,11
1231,1,11
1232,#coronasemfakenews,11
1233,vir,11
1234,day,11
1235,sinto,11
1236,oficialmente,11
1237,#bbbb20,11
1238,resenha,11
1239,esperar,11
1240,maneira,11
1241,reunioes,11
1242,ca,11
1243,curtindo,11
1244,rafa,11
1245,propagacao,11
1246,lives,11
1247,domestica,11
1248,colocando,11
1249,tocar,11
1250,grupos,11
1251,salvador,10
1252,voce..,10
1253,#quartadetremurasdv,10
1254,memes,10
1255,bar,10
1256,mostra,10
1257,globinho,10
1258,trabalhador,10
1259,gratuitamente,10
1260,banco,10
1261,respeitar,10
1262,desafios,10
1263,prova,10
1264,funciona,10
1265,nacional,10
1266,lavando,10
1267,uso,10
1268,reais,10
1269,l..,10
1270,joga,10
1271,simplesmente,10
1272,@anitta,10
1273,ca..,10
1274,curso,10
1275,hospitais,10
1276,????..,10
1277,dificeis,10
1278,pras,10
1279,9,10
1280,su..,10
1281,gnt,10
1282,caiu,10
1283,piada,10
1284,dados,10
1285,estiver,10
1286,terminar,10
1287,proxima,10
1288,resolveu,10
1289,entrevista,10
1290,voz,10
1291,pequenos,10
1292,on-line,10
1293,pensa,10
1294,embora,10
1295,palavras,10
1296,kkkkkkk,10
1297,conhecer,10
1298,quantidade,10
1299,predio,10
1300,mulher,10
1301,deitado,10
1302,valor,10
1303,#dia2,10
1304,sentir,10
1305,of,10
1306,vergonha,10
1307,bairro,10
1308,legal,10
1309,testes,10
1310,2,10
1311,eh,10
1312,nos..,10
1313,caminho,10
1314,g..,10
1315,#riodejaneiro,10
1316,falei,10
1317,errado,10
1318,computador,10
1319,manda,10
1320,indireta,10
1321,ti,10
1322,barra,10
1323,praias,10
1324,panela,10
1325,pqp,10
1326,coragem,10
1327,doencas,10
1328,tosse,10
1329,estaria,10
1330,sabao,10
1331,ajude,10
1332,area,10
1333,preocupada,10
1334,kk,10
1335,podera,10
1336,irei,10
1337,vindo,10
1338,surtando,10
1339,minimo,10
1340,seguem,10
1341,entretenimento,10
1342,viva,10
1343,elite,10
1344,infectados,10
1345,toma,10
1346,quarta-feira,10
1347,ola,10
1348,suspensao,10
1349,trabalhos,10
1350,mulheres,10
1351,fa..,10
1352,regime,10
1353,diminuir,10
1354,ri,10
1355,curte,10
1356,confirmado,10
1357,irao,10
1358,esperanca,10
1359,parou,10
1360,entrando,10
1361,dai,10
1362,entendendo,10
1363,local,10
1364,feira,10
1365,pegou,10
1366,acordo,9
1367,conseguir,9
1368,lutar,9
1369,abracar,9
1370,missao,9
1371,?o,9
1372,abencoe,9
1373,completo,9
1374,on,9
1375,leve,9
1376,ira,9
1377,fdp,9
1378,viagem,9
1379,haitiano,9
1380,fazia,9
1381,meninas,9
1382,??#fiqueemcasa,9
1383,fechada,9
1384,curva,9
1385,mesmo!,9
1386,som,9
1387,whatsapp,9
1388,streaming,9
1389,importantes,9
1390,chorando,9
1391,receber,9
1392,ato,9
1393,franca,9
1394,passo,9
1395,tenham,9
1396,#empatia,9
1397,olho,9
1398,produtivo,9
1399,disponiveis,9
1400,sono,9
1401,100%,9
1402,fisica,9
1403,entra,9
1404,hashtag,9
1405,aprendendo,9
1406,fizemos,9
1407,tt,9
1408,fila,9
1409,irem,9
1410,sabado,9
1411,matando,9
1412,essencial,9
1413,estoque,9
1414,oficiais,9
1415,consegue,9
1416,@serpro,9
1417,?a,9
1418,enganar,9
1419,testemunhas,9
1420,votando,9
1421,#vocenaoepresidentemais..,9
1422,privilegiado,9
1423,oms,9
1424,sim!,9
1425,faxina,9
1426,u..,9
1427,'''a,9
1428,pipoca,9
1429,nota,9
1430,prefeitura,9
1431,call,9
1432,ministro,9
1433,vairus,9
1434,campo,9
1435,saco,9
1436,#instagram,9
1437,dormi,9
1438,diariamente,9
1439,plataforma,9
1440,bela,9
1441,#amor,9
1442,vitoria,9
1443,visto,9
1444,vista,9
1445,#urgente,9
1446,comercio,9
1447,maconha,9
1448,doido,9
1449,@youtube,9
1450,14,9
1451,sul,9
1452,partiu,9
1453,churrasco,9
1454,vencer,9
1455,deste,9
1456,louco,9
1457,#coronavirusoutbreak,9
1458,@sf,9
1459,espirrar,9
1460,ta..,9
1461,con..,9
1462,transito,9
1463,proliferacao,9
1464,tecnologia,9
1465,#viruschines,9
1466,gosta,9
1467,beber,9
1468,reprisar,9
1469,fundamental,9
1470,publicos,9
1471,familias,9
1472,indeterminado,9
1473,dia:,9
1474,resta,9
1475,saiam,9
1476,recadinho,9
1477,quintal,9
1478,abraco,9
1479,participantes,9
1480,condominio,9
1481,trabalham,9
1482,abaixo,9
1483,parte!,9
1484,#quarantinelife,9
1485,desconto,9
1486,sorte,9
1487,voces!,9
1488,voluntario,9
1489,aderir,9
1490,'o,9
1491,estivesse,9
1492,decisao,9
1493,ritmo,9
1494,episodios,9
1495,agende,9
1496,lembro,9
1497,musicas,9
1498,barcelona,9
1499,'eu,9
1500,fingindo,9
1501,nestes,9
1502,quarta,9
1503,encontro,9
1504,elas,9
1505,#repost,9
1506,promocao,9
1507,#stayhome..,9
1508,fogo,9
1509,conheca,9
1510,europa,9
1511,milhoes,9
1512,time,9
1513,espaco,9
1514,with,9
1515,versao,8
1516,dor,8
1517,quais,8
1518,morreu,8
1519,onda,8
1520,tiktok,8
1521,virei,8
1522,#bolsonaronaoemaispresidente,8
1523,avisa,8
1524,vazias,8
1525,??#fcporto,8
1526,suave,8
1527,#virus,8
1528,uma..,8
1529,nacao,8
1530,fechados,8
1531,ceu,8
1532,companhia,8
1533,africa,8
1534,peguei,8
1535,cs,8
1536,shoppings,8
1537,velho,8
1538,moradores,8
